categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.45,"meu deus, meu pai | o sangue de jesus tem poder",001,,,numero_nomes_distintos
,,,0.33,"o sangue de jesus tem poder para salvar | pai, estou a te clamar",002,,,numero_nomes_distintos
,,,0.40,"clamo a ti | clamo, o senhor por teu sangue",003,,,numero_nomes_distintos
,,,0.29,"clamo, o senhor | quando te prostrares",004,,,numero_nomes_distintos
,,,0.26,clamando estou | estou aqui pra confessar,005,,,numero_nomes_distintos
,,,0.34,"jesus, o meu jesus | perdoa-me, senhor",006,,,numero_nomes_distintos
,,,0.28,"e teu sangue, meu senhor jesus | nesta hora em oracao",007,,,numero_nomes_distintos
,,,0.41,diante do teu altar | pelo sangue de jesus,008,,,numero_nomes_distintos
,,,0.34,dobro os meus joelhos | senhor me chego a ti,009,,,numero_nomes_distintos
,,,0.28,"clama, o igreja | vamos lavar as vestes",010,,,numero_nomes_distintos
,,,0.45,"clamo a ti, meu senhor e pai (uma nova cancao) | reveste, senhor, teu povo",011,,,numero_nomes_distintos
,,,0.18,"ha vitoria para mim | perdoa-me, senhor, segundo o seu amor",012,,,numero_nomes_distintos
,,,0.51,poe teu sangue sobre mim | purificado com sangue estou,013,,,numero_nomes_distintos
,,,0.21,"em teu altar senhor | te suplico, o deus, em oracao",014,,,numero_nomes_distintos
,,,0.15,"clamarei, clamarei | jesus, vem me abencoar",015,,,numero_nomes_distintos
,,,0.14,pai celeste | se andarmos na luz,016,,,numero_nomes_distintos
,,,0.23,em tua presenca entramos | quando falo com deus,017,,,numero_nomes_distintos
,,,0.39,buscai ao senhor | prostrado estou,018,,,numero_nomes_distintos
,,,0.24,quando davi ao senhor orava | teu povo clama,019,,,numero_nomes_distintos
,,,0.33,o teu pecado tu queres deixar | quando oro ao senhor,020,,,numero_nomes_distintos
,,,0.32,"nesta hora de clamor | santo, justo, principe da vida",021,,,numero_nomes_distintos
,,,0.29,bendito seja o cordeiro | faze oracao,022,,,numero_nomes_distintos
,,,0.19,quando israel saiu do egito | senhor ouve a minha oracao,023,,,numero_nomes_distintos
,,,0.43,eis o cordeiro de deus | uma ovelhinha de jesus eu sou,024,,,numero_nomes_distintos
,,,0.23,"onde quer que tu fores, irei jesus | senhor, a ti clamo",025,,,numero_nomes_distintos
,,,0.38,eu sou uma ovelhinha de jesus | seja so o senhor louvado aqui,026,,,numero_nomes_distintos
,,,0.30,cordeiro eterno | ele e a raiz,027,,,numero_nomes_distintos
,,,0.26,o poder do sangue de jesus | sou uma crianca feliz,028,,,numero_nomes_distintos
,,,0.27,"jesus, quando me lembro | transborda-me, senhor",029,,,numero_nomes_distintos
,,,0.22,ele vive em mim | oh que precioso sangue,030,,,numero_nomes_distintos
,,,0.30,"eu quero ser o sal da terra | junto a ti suplico , o pai",031,,,numero_nomes_distintos
,,,0.26,"o sangue de jesus, vertido ali na cruz | principe da paz",032,,,numero_nomes_distintos
,,,0.38,"cristo, meu bom mestre | eu me prostro em teu altar",033,,,numero_nomes_distintos
,,,0.33,quando buscamos | tenho um senhor muito forte,034,,,numero_nomes_distintos
,,,0.32,a meu senhor | quero ser como davi,035,,,numero_nomes_distintos
,,,0.29,crucificado foi meu jesus | eu quero andar sempre com jesus,036,,,numero_nomes_distintos
,,,0.16,nesta hora esqueco o mundo | no meu coracao ha um tesouro (principe da vida),037,,,numero_nomes_distintos
,,,0.25,pelo sangue de jesus irei clamar | tenho um coracao alegre,038,,,numero_nomes_distintos
,,,0.28,"jesus, tu es o meu deus | na areia nao quero construir (firme, sim!)",039,,,numero_nomes_distintos
,,,0.30,oh que sangue poderoso | quero ouvir (meu querer),040,,,numero_nomes_distintos
,,,0.42,a minha casa firme esta | alem do veu eu quero esta,041,,,numero_nomes_distintos
,,,0.53,minha vida e meu coracao | senhor suplico a ti em oracao,042,,,numero_nomes_distintos
,,,0.40,sou feliz! | vou clamar,043,,,numero_nomes_distintos
,,,0.17,conforme a tua infinita graca | sou servo do senhor,044,,,numero_nomes_distintos
,,,0.28,jesus ressuscitou! (meu amigo jesus) | nos atrios do senhor entramos,045,,,numero_nomes_distintos
,,,0.43,ao sentir o teu perdao | como e bom servir a deus,046,,,numero_nomes_distintos
,,,0.31,e teu sangue | tenho no meu coracao,047,,,numero_nomes_distintos
,,,0.46,jesus cristo e o amado | pelo sangue de jesus eu vou clamar,048,,,numero_nomes_distintos
,,,0.47,a minha alegria e crescer com o meu senhor | na hora em que eu quiser falar com deus,049,,,numero_nomes_distintos
,,,0.43,do alto ceu | o sangue de jesus,050,,,numero_nomes_distintos
,,,0.35,"eis-me aqui, senhor, em teu altar | o cordeiro que na cruz morreu",051,,,numero_nomes_distintos
,,,0.26,"escuta-me, senhor | seu nome e maravilhoso",052,,,numero_nomes_distintos
,,,0.38,"e bom, e bom demais | o sangue do cordeiro de deus",053,,,numero_nomes_distintos
,,,0.38,"como e bom saber | ha vitoria sempre em ti, senhor",054,,,numero_nomes_distintos
,,,0.38,"e somente teu meu coracao | senhor, meu deus e pai",055,,,numero_nomes_distintos
,,,0.42,cristo e o senhor | vitoria sobre vitoria,056,,,numero_nomes_distintos
,,,0.36,em fervente oracao | ha uma linda cancao de amor,057,,,numero_nomes_distintos
,,,0.19,atende a voz do meu clamor | viver e tao lindo,058,,,numero_nomes_distintos
,,,0.54,o nome do meu senhor! | se orarmos ao senhor,059,,,numero_nomes_distintos
,,,0.32,"bem de manha, embora o ceu sereno | deus falou comigo",060,,,numero_nomes_distintos
,,,0.27,sei que na cruz seu sangue verteu | suba a minha oracao,061,,,numero_nomes_distintos
,,,0.39,e tao triste nao ver a luz (cego bastimeu) | no silencio da noite,062,,,numero_nomes_distintos
,,,0.26,"invoca-me e te responderei | tem bom animo, pobre pecador",063,,,numero_nomes_distintos
,,,0.12,brilhe sobre mim | eu vou contar uma historia (zaqueu),064,,,numero_nomes_distintos
